timestamp,pathogen,value,source
2025-06-22,RSV,2.1,sample
2025-06-29,RSV,2.1,sample
2025-07-06,RSV,1.99,sample
2025-07-13,RSV,2.01,sample
2025-07-20,RSV,2.12,sample
2025-07-27,RSV,2.09,sample
2025-08-03,RSV,2.15,sample
2025-08-10,RSV,1.93,sample
2025-08-17,RSV,1.94,sample
2025-08-24,RSV,1.97,sample
2025-08-31,RSV,1.92,sample
2025-09-07,RSV,1.91,sample
2025-09-14,RSV,2.13,sample
2025-09-21,RSV,2.2,sample
2025-09-28,RSV,2.31,sample
2025-10-05,RSV,2.54,sample
2025-10-12,RSV,2.61,sample
2025-10-19,RSV,3.18,sample
2025-10-26,RSV,3.8,sample
2025-11-02,RSV,4.59,sample
2025-11-09,RSV,5.0,sample
2025-11-16,RSV,5.95,sample
2025-11-23,RSV,6.86,sample
2025-11-30,RSV,8.01,sample
2025-12-07,RSV,8.05,sample
2025-12-14,RSV,8.38,sample
2025-12-21,RSV,7.63,sample
2025-12-28,RSV,7.11,sample
2026-01-04,RSV,6.52,sample
2026-01-11,RSV,5.47,sample
2026-01-18,RSV,4.54,sample
2026-01-25,RSV,3.65,sample
2026-02-01,RSV,3.24,sample
2026-02-08,RSV,2.99,sample
2026-02-15,RSV,2.69,sample
2026-02-22,RSV,2.22,sample
2026-03-01,RSV,1.98,sample
2026-03-08,RSV,2.19,sample
2026-03-15,RSV,2.05,sample
2026-03-22,RSV,1.88,sample
2026-03-29,RSV,1.7,sample
2026-04-05,RSV,1.91,sample
2026-04-12,RSV,1.96,sample
2026-04-19,RSV,1.89,sample
2026-04-26,RSV,2.07,sample
2026-05-03,RSV,1.92,sample
2026-05-10,RSV,2.0,sample
2026-05-17,RSV,2.24,sample
2026-05-24,RSV,2.01,sample
2026-05-31,RSV,1.99,sample
2026-06-07,RSV,1.99,sample
2026-06-14,RSV,2.07,sample
